# Undirected graph (each unordered pair of nodes is saved once): alpha3.200000000000001.txt
# Nodes: 100000 Edges: 88071
# NodeId	NodeId
0	20345
0	23194
0	43552
1	30936
1	57505
2	38571
2	84544
3	23137
4	1647
4	22816
5	60876
6	69504
7	58970
8	92532
9	52417
10	61001
11	95426
12	3852
12	88500
12	89729
13	36994
14	5851
15	51311
16	61612
16	67844
17	84338
18	12275
18	38428
18	76021
19	44028
20	49821
21	76061
22	20400
22	29368
22	35167
22	58041
22	99131
23	35146
23	50918
23	90302
24	13109
24	13805
24	19756
24	26362
24	37288
24	40141
24	60087
24	63367
24	70258
24	76301
24	81070
24	81541
24	90743
24	99610
25	34075
26	63354
27	92091
28	68910
29	94315
30	29016
30	97163
31	10335
31	73290
32	10522
32	16857
33	99
33	70603
34	49826
35	30965
36	5804
37	6637
38	70979
39	7364
40	30802
40	36256
40	37800
40	74778
40	97579
41	3479
42	4774
43	28468
43	83627
44	45383
44	93183
44	98001
45	10438
45	26369
45	65946
45	76111
46	5696
46	94134
47	47175
47	57101
48	25391
49	55984
50	15936
51	97931
52	48496
52	61679
53	17007
54	99383
55	40864
56	28523
56	61780
57	65059
58	58203
58	61832
59	90238
60	21102
60	30019
60	32473
60	52406
60	65701
60	80850
60	99094
61	93739
62	62965
63	21579
64	99196
65	28026
66	33353
67	10181
68	2171
68	21247
69	29146
69	62356
70	40577
71	23798
71	57889
72	28910
73	60444
74	79219
75	12243
76	71214
77	39337
77	89164
78	7840
78	40815
79	75446
80	16647
80	28058
80	54761
81	7296
81	43607
82	25331
83	31179
84	27538
84	67743
84	96306
85	66108
85	93161
86	89264
87	38698
88	92456
89	70228
90	15526
90	26551
91	9354
92	22086
93	94254
94	80816
94	88264
95	92525
96	17558
97	7281
97	37819
97	58282
98	26184
100	34623
101	73587
102	5467
102	43041
102	62070
103	8543
103	36552
104	48923
105	67752
106	24774
106	75046
106	81398
107	31820
108	1975
108	62788
109	25391
109	42689
110	52597
110	74912
110	84525
111	17118
111	65910
112	15153
112	87255
113	97324
114	1521
114	99939
115	30027
115	39738
115	60842
115	80393
115	80622
116	78813
117	98702
118	28591
118	86822
119	18845
119	31490
120	19792
120	50412
121	63501
122	6206
122	27004
123	20427
124	47214
125	86303
126	10232
126	83140
127	17715
127	59475
128	80961
129	79388
130	25014
131	82625
132	42099
133	31492
134	6276
134	44032
135	37400
135	74611
136	25136
137	21292
138	32267
138	56005
139	80144
140	23022
141	97067
142	29602
142	40870
142	87160
143	22005
143	35563
143	61770
143	79915
144	3242
145	84743
146	34672
147	42240
147	85662
148	10742
148	47156
149	4364
149	60871
150	15551
150	35884
150	65378
151	71530
152	39538
153	65937
154	1690
154	16825
154	22504
154	58838
154	69852
154	97113
155	39533
156	29230
156	32316
156	48042
156	54930
157	31343
157	44866
158	42529
158	51405
158	74553
159	58544
160	49060
160	91212
161	29398
161	39793
162	34185
163	60300
164	50621
164	75901
165	6590
166	46056
167	67015
167	97127
168	30378
168	84920
169	46918
170	5471
170	54789
171	598
171	47387
171	72317
171	77844
172	4594
172	30450
172	60662
172	64259
172	81995
172	83137
173	49835
174	35069
174	61765
175	33300
176	93761
177	7067
177	16631
177	83547
178	15412
179	45111
180	73887
181	53555
182	41807
183	4346
184	32563
184	67349
184	70380
185	40308
186	72589
187	60907
188	76229
188	92013
189	78935
190	12007
190	21783
190	34736
190	37011
190	50842
190	51956
190	80521
190	84635
190	87521
190	96671
190	98498
191	71578
192	22537
192	36042
193	32405
193	45202
194	94941
195	47286
196	1265
197	43203
197	71703
198	7192
198	7227
198	20885
198	48753
198	49654
198	66609
198	67885
198	75481
199	36993
200	96777
201	43759
202	70123
203	51704
204	13152
204	36044
205	10860
205	64885
206	67055
207	13539
207	85171
208	7788
209	50592
210	1808
210	55243
210	60222
211	27646
211	54224
212	65940
212	74503
212	87621
212	95590
213	36834
213	92915
214	35197
215	71455
216	61549
217	52141
217	65077
218	29496
219	54202
220	85771
221	4155
221	46257
222	10489
222	95168
223	4830
223	12314
223	25246
224	28109
225	71812
226	14709
226	39677
226	70477
226	81562
226	95500
227	3002
228	8089
228	64270
229	32287
230	34969
230	98446
231	75226
232	58543
232	74809
233	10645
233	46410
233	64982
234	59760
234	61307
234	78418
235	35820
235	83763
236	38459
237	84154
238	81390
239	85471
240	58041
241	53316
242	15414
242	20028
243	11134
243	79526
244	37942
244	60722
244	78377
245	1769
246	22778
247	92222
248	92283
249	47140
250	25390
251	77510
252	37770
252	53682
253	60244
253	89478
254	65702
254	87286
255	21207
256	56859
256	65298
257	28254
257	30447
257	75831
258	59192
259	98823
260	3826
260	96087
261	30831
261	77170
262	63169
263	30975
263	42084
263	99397
264	28376
264	67121
265	19968
266	99421
267	32885
267	69483
268	59803
269	10297
270	32998
270	90907
270	98372
271	37292
271	62760
271	96671
272	43443
273	29039
273	73008
274	17203
274	36262
275	22258
275	63825
276	377
277	857
277	47285
278	65379
279	97930
280	55293
281	30163
281	94218
282	23898
283	96796
284	38708
285	21072
285	22742
286	30669
286	79834
287	46178
287	95265
288	32067
288	33828
289	21488
289	35788
289	54645
289	65859
289	70799
289	96631
290	33874
291	35074
292	55448
293	35951
293	45915
293	88394
293	96149
294	42613
295	22596
295	31019
296	6347
296	7348
296	26342
297	3439
297	53105
297	62615
297	63526
297	64634
298	79688
299	72778
300	86913
301	38709
302	24809
303	42968
304	8784
305	47193
305	53202
306	1399
307	1443
307	47670
308	17295
308	17406
308	96403
309	6503
309	28457
309	34022
309	52620
309	55198
310	32928
310	52271
311	26424
311	61196
312	37328
313	75271
313	85418
314	6528
315	14449
315	18947
316	79693
317	25665
318	42692
319	15264
320	10937
320	61012
320	68739
320	90115
321	75794
322	71242
323	73208
324	82502
325	9978
326	41208
326	78418
327	92452
328	57897
328	60474
328	62026
328	98345
329	20896
329	61334
329	84238
330	52124
331	59249
332	89877
333	7340
334	34510
335	76692
336	36918
337	30803
337	74101
338	77266
339	852
339	72260
340	56343
341	37699
342	35089
342	50864
343	24585
344	1718
345	18448
346	3981
347	53806
347	68571
348	27824
348	58892
349	26050
350	82062
351	71666
352	9586
353	52512
354	35522
355	44749
356	23652
357	26799
358	79612
359	30735
359	69493
360	31593
360	49343
360	59213
361	29487
361	70024
362	17881
362	27795
362	75238
362	99580
363	12034
363	75816
364	22319
364	53975
365	10261
365	44349
366	2146
367	84173
368	36343
369	53636
370	22145
371	26811
371	63055
372	48400
373	47774
374	75522
375	37968
375	50148
376	68383
377	91147
378	460
378	63704
378	66925
379	25607
379	99203
380	38636
381	77183
382	8934
382	97936
383	24208
384	95278
385	46328
386	22071
386	22981
387	24576
388	50899
388	87150
389	23068
389	54072
390	83119
391	34736
392	24675
393	17929
393	81058
394	79662
395	1021
396	8199
396	85785
396	97669
396	99921
397	89999
398	48959
399	5736
400	6657
400	31338
400	34598
400	50179
401	53688
401	69988
401	97786
402	17059
403	79456
403	85171
403	87364
404	75350
404	80327
405	24070
406	92669
407	5285
408	36313
409	48621
409	76419
410	91621
410	94119
411	75105
412	52338
412	82036
413	32654
413	70779
414	11509
415	72805
416	14864
417	50759
418	32115
419	18899
419	51887
420	22440
421	93053
422	94762
423	85941
424	47737
425	8935
426	70990
427	1295
427	17177
427	29909
427	34724
427	38855
427	44044
427	55871
427	59654
427	66454
427	81639
427	83100
427	92097
427	94862
428	57356
429	2518
429	57253
429	66615
429	89887
430	78080
431	62799
432	36869
433	32432
433	97327
434	11964
435	69940
436	3829
436	7560
436	22510
436	26370
436	72144
436	84371
437	40412
437	65974
438	72027
439	23708
439	31988
439	57824
439	87821
440	52919
441	58373
442	53814
442	59845
443	48119
443	96563
444	15915
445	14636
446	789
446	18553
446	76646
447	21276
448	62719
449	57077
450	79893
451	10496
451	27922
452	22619
452	83542
453	36592
454	14099
454	99115
455	20474
456	59849
457	4543
457	22214
457	61718
458	88210
459	29227
459	94141
460	34854
461	7076
461	40778
461	42006
461	91373
462	65359
463	38150
464	47556
465	59776
466	68622
466	73901
467	1287
467	21852
468	50913
468	78838
469	23003
469	63472
470	14653
471	13361
472	71772
472	99126
473	16022
473	97926
474	32533
475	59271
476	12873
476	62279
477	34618
477	77284
478	9144
479	32770
479	35334
480	14097
481	17718
481	77279
482	50489
482	52363
483	30186
483	99370
484	35686
485	61211
486	875
487	71270
487	88594
488	81937
489	34333
489	91246
490	2463
490	13560
490	54752
490	67627
491	10985
491	30998
491	84677
492	10800
493	24060
493	37540
493	58701
494	9500
495	81322
496	50189
497	48565
498	1297
498	72639
498	73213
499	45615
500	72778
501	35073
501	93688
502	67153
503	88090
504	89734
505	34399
506	10365
507	64625
508	75019
509	6279
510	21116
511	23756
512	77425
512	79116
513	33236
513	71610
514	42074
514	51199
514	68413
514	68727
514	72223
515	22753
515	30748
515	33796
515	47143
516	58604
517	4811
517	46930
517	47267
518	10735
519	14774
520	77095
521	73496
522	86410
523	7804
524	89957
525	27228
526	39376
526	85299
527	85981
528	49633
528	62949
529	57875
529	85213
530	2248
530	4708
530	36997
530	47941
531	99767
532	96878
533	77127
533	97902
534	69109
535	17640
535	48206
536	91814
537	45574
538	18739
538	55445
539	16338
539	60460
540	92348
541	52019
542	12728
543	84173
543	90776
544	27968
544	99468
545	1266
546	11543
547	81831
548	3525
548	16414
549	1253
549	5478
549	7513
549	9963
549	10780
549	11782
549	12501
549	13588
549	15749
549	31261
549	37403
549	38236
549	39245
549	40633
549	42139
549	44530
549	46654
549	51596
549	53637
549	57018
549	57478
